year,team,games,win,loss,win_rate,surveyyear,footballteam,state,maleundergraduates,femaleundergraduates,totalundergraduates,participantsmenteam,operatingexpensesparticipantmenteam,operatingexpensesteammenteam,totaloperatingexpensesmenwomenteam,revenuesmenteam,expensesmenteam
2013,Purdue University-Main Campus,12,1,11,0.083,2013,Purdue University-Main Campus,IN,16562,12053,28615,113,28108,3176239,3176239,19785663,15328708
2013,University of Wisconsin-Madison,13,9,4,0.692,2013,University of Wisconsin-Madison,WI,13670,14513,28183,120,36558,4387003,4387003,47284723,31282929
2014,University of Illinois at Urbana-Champaign,13,6,7,0.462,2014,University of Illinois at Urbana-Champaign,IL,17486,13826,31312,110,25716,2828708,2828708,30819615,18336909
2014,Indiana University-Bloomington,12,4,8,0.333,2014,Indiana University-Bloomington,IN,15523,15638,31161,136,18362,2497266,2497266,27508477,18010927
2014,University of Iowa,13,7,6,0.538,2014,University of Iowa,IA,9301,10074,19375,121,39883,4825833,4825833,52354781,25482299
2014,University of Maryland-College Park,13,7,6,0.538,2014,University of Maryland-College Park,MD,13210,11698,24908,107,26786,2866106,2866106,30891641,16151389
2014,University of Michigan-Ann Arbor,12,5,7,0.417,2014,University of Michigan-Ann Arbor,MI,13789,13508,27297,117,37768,4418872,4418872,88251525,31880547
2014,Michigan State University,13,11,2,0.846,2014,Michigan State University,MI,17257,17781,35038,115,54950,6319252,6319252,59227831,27694367
2014,University of Minnesota-Twin Cities,13,8,5,0.615,2014,University of Minnesota-Twin Cities,MN,13661,14282,27943,126,39300,4951745,4951745,35772983,26292215
2014,University of Nebraska-Lincoln,13,9,4,0.692,2014,University of Nebraska-Lincoln,NE,9887,8773,18660,138,48611,6708264,6708264,60621628,29179492
2014,Northwestern University,12,5,7,0.417,2014,Northwestern University,IL,4136,4221,8357,110,24976,2747342,2747342,31664655,20884258
2014,Ohio State University-Main Campus,15,14,1,0.933,2014,Ohio State University-Main Campus,OH,21128,19324,40452,118,86065,10155684,10155684,83547428,32588493
2014,Pennsylvania State University-Main Campus,13,7,6,0.538,2014,Pennsylvania State University-Main Campus,PA,20898,18179,39077,115,83665,9621531,9621531,71305219,35146623
2014,Purdue University-Main Campus,12,3,9,0.25,2014,Purdue University-Main Campus,IN,16449,11933,28382,105,32725,3436142,3436142,17073335,15598196
